facility_name,longitude,latitude,description,address1,city,state,fac_zip
Renaissance Health Care Network,"-73.953568","40.805305",Diagnostic and Treatment Center,264 West 118th Street,New York,New York,"10026"
Rockaway Dialysis,"-73.754135","40.600529",Diagnostic and Treatment Center,529 Beach 20th Street,Far Rockaway,New York,"11691"
Queensbridge Family Health Center,"-73.946342","40.756073",Hospital Extension Clinic,10-29 41st Avenue,Long Island City,New York,"11101"
MediDental Care,"-73.912079","40.77533",Diagnostic and Treatment Center,22-46 31st Street,Astoria,New York,"11105"
Max Meltzer Health & Service Center,"-73.987465","40.722939",Hospital Extension Clinic,94 East 1st Street,New York,New York,"10009"
Greenpoint Community Health Center,"-73.954325","40.729611",Diagnostic and Treatment Center Extension Clinic,875 Manhattan Avenue,Brooklyn,New York,"11222"
Queens Hospital Center,"-73.803581","40.71722",Hospital,82-68 164th Street,Jamaica,New York,"11432"
Queens Dialysis Center,"-73.782532","40.683594",Diagnostic and Treatment Center Extension Clinic,"118-01,05,07A Guy Brewer Boulevard",Jamaica,New York,"11434"
"Queens Boulevard ASC, LLC","-73.863846","40.730934",Diagnostic and Treatment Center,95-25 Queens Boulevard,Rego Park,New York,"11374"
Vincent P. Dole Clinic,"-73.996422","40.671593",Hospital Extension Clinic,25 12th Street,Brooklyn,New York,"11215"
Jamaica Hillside Dialysis,"-73.790796","40.711798",Diagnostic and Treatment Center Extension Clinic,171-19 Hillside Avenue,Jamaica,New York,"11432"
Mount Hope Family Practice,"-73.914368","40.849964",Diagnostic and Treatment Center Extension Clinic,130 West Tremont Avenue,Bronx,New York,"10453"
Castle Hill Family Practice,"-73.85247","40.834164",Hospital Extension Clinic,2175 Westchester Avenue,Bronx,New York,"10462"
"Parkmed NYC, LLC","-73.971612","40.750033",Diagnostic and Treatment Center,"800 Second Avenue, 6th Floor",New York,New York,"10017"
Henry J. Carter Specialty Hospital,"-73.940811","40.802979",Hospital,1752 Park Avenue,New York,New York,"10035"
CenterLight Healthcare D&TC - Allerton Avenue Site,"-73.868546","40.865353",Diagnostic and Treatment Center Extension Clinic,668 Allerton Avenue,Bronx,New York,"10467"
"Physicare Multi-Services, Ltd","-73.940674","40.617695",Diagnostic and Treatment Center,3508 Flatlands Avenue,Brooklyn,New York,"11234"
St Barnabas Ambulatory Care Center,"-73.89151","40.853554",Hospital Extension Clinic,4487 Third Avenue,Bronx,New York,"10457"
Bedford Park Dialysis Center,"-73.876549","40.871536",Diagnostic and Treatment Center Extension Clinic,3117 Webster Avenue,Bronx,New York,"10467"
Fifth Avenue Surgery Center,"-73.96918","40.752875",Diagnostic and Treatment Center Extension Clinic,305 East 47th Street,New York,New York,"10017"
Public Health Solutions Brownsville Center,"-73.908203","40.676464",Diagnostic and Treatment Center Extension Clinic,1873 Eastern Parkway,Brooklyn,New York,"11233"
PS 1,"-74.012375","40.649162",School Based Hospital Extension Clinic,309 47th Street,Brooklyn,New York,"11220"
Lenox Hill Hospital Extension Clinic at MEETH,"-73.963821","40.764416",Hospital Extension Clinic,210 East 64th Street,New York,New York,"10021"
Memorial Sloan Kettering 55th Street Imaging Center,"-73.965759","40.757862",Hospital Extension Clinic,301 East 55th Street,New York,New York,"10022"
Weill Cornell Imaging at NYP-55 St,"-73.962486","40.756355",Diagnostic and Treatment Center Extension Clinic,416 East 55th Street,New York,New York,"10021"
Maimonides Adult/Ped Dental Center,"-73.988632","40.638279",Hospital Extension Clinic,4303-4305 13th Avenue,Brooklyn,New York,"11219"
Plaza Del Castilo Health Center,"-73.889984","40.83395",Diagnostic and Treatment Center Extension Clinic,1515 Southern Blvd,Bronx,New York,"10460"
Brooklyn Plaza Medical Center,"-73.97654","40.687092",Diagnostic and Treatment Center,650 Fulton Street,Brooklyn,New York,"11217"
Laconia Dialysis,"-73.848602","40.875984",Diagnostic and Treatment Center Extension Clinic,3440 Boston Road,Bronx,New York,"10469"
Alcoholism Outpatient Clinic,"-73.923813","40.811272",Hospital Extension Clinic,349 East 140th Street,Bronx,New York,"10454"
Joseph P Addabbo Family Health Center,"-73.833336","40.678562",Diagnostic and Treatment Center Extension Clinic,105-34 Rockaway Blvd.,Ozone Park,New York,"11417"
BronxCare MBD Family Practice,"-73.885422","40.835808",Diagnostic and Treatment Center Extension Clinic,1690 Bryant Avenue,Bronx,New York,"10460"
Montefiore Dental Center@Bronx Muni Hosp,"-73.843781","40.857151",Hospital Extension Clinic,Pelham Parkway South & Eastchester Rd,Bronx,New York,"10461"
Genesis Renal Care,"-73.862633","40.708199",Diagnostic and Treatment Center,74-07 88th Street,Glendale,New York,"11385"
"Central Brooklyn Dialysis Center, LLC","-73.951286","40.672531",Diagnostic and Treatment Center,818 Sterling Place,Brooklyn,New York,"11216"
BOOM! Health,"-73.925629","40.815807",Diagnostic and Treatment Center Extension Clinic,226 East 144th Street,Bronx,New York,"10451"
Norman Thomas High School,"-73.981063","40.74648",School Based Diagnostic and Treatment Center Extension Clinic,111 East 33rd Street,New York,New York,"10016"
The Firehouse Health Clinic,"-73.798347","40.705261",Diagnostic and Treatment Center Extension Clinic,89-56 162nd Street,Jamaica,New York,"11432"
Sanford R Nalitt Inst for Cancer,"-74.086708","40.586643",Hospital Extension Clinic,256 Mason Avenue,Staten Island,New York,"10305"
Saint Joseph's Medical Center Queens OTP,"-73.786876","40.71162",Hospital Extension Clinic,175-20 Hillside Avenue,Jamaica,New York,"11432"
Medisys Family Care Center,"-73.770683","40.710941",Hospital Extension Clinic,188-03 Jamaica Avenue,Jamaica,New York,"11423"
Curtis High School,"-74.081207","40.644787",School Based Diagnostic and Treatment Center Extension Clinic,105 Hamilton Avenue,Staten Island,New York,"10301"
George Washington High School,"-73.926987","40.855942",School Based Hospital Extension Clinic,549 Audubon Avenue,New York,New York,"10034"
CenterLight Healthcare Diagnostic and Treatment Center,"-73.867592","40.861694",Diagnostic and Treatment Center,2401 White Plains Road,Bronx,New York,"10467"
Park Slope Family Health Center,"-73.99012","40.667587",Hospital Extension Clinic,220 13th Street,Brooklyn,New York,"11215"
Northwell Ambulatory Care Center- a Program of Long Island Jewish Medical Center,"-73.863846","40.730934",Hospital Extension Clinic,95-25 Queens Boulevard,Rego Park,New York,"11374"
The Marble Hill Family Practice Center,"-73.905716","40.877602",Hospital Extension Clinic,5525 Broadway,Bronx,New York,"10463"
Adapt Community Network,"-73.922295","40.807907",Diagnostic and Treatment Center Extension Clinic,408 East 137th Street,Bronx,New York,"10454"
Corona Health Center,"-73.872108","40.754082",Diagnostic and Treatment Center Extension Clinic,34-33 Junction Boulevard,Corona,New York,"11372"
MS 424,"-73.885796","40.815781",School Based Diagnostic and Treatment Center Extension Clinic,730 Bryant Avenue,Bronx,New York,"10474"
U.S. Renal Care Pelham Parkway Dialysis,"-73.846402","40.852742",Diagnostic and Treatment Center,1225A Morris Park Ave.,Bronx,New York,"10461"
Vanderbilt Avenue Health Center,"-74.076938","40.620261",Diagnostic and Treatment Center Extension Clinic,165 Vanderbilt Avenue,Staten Island,New York,"10304"
North Central Bronx Hospital,"-73.881538","40.880512",Hospital,3424 Kossuth Avenue & 210th Street,Bronx,New York,"10467"
NYU Langone Hospitals,"-73.974159","40.742874",Hospital,550 First Avenue,New York,New York,"10016"
NYU Langone Hassenfeld and Fink Children's Center,"-73.979897","40.744732",Hospital Extension Clinic,160 East 32nd Street,New York,New York,"10016"
Brookdale Family Care Center-Flatbush,"-73.957771","40.64373",Diagnostic and Treatment Center Extension Clinic,1095 Flatbush Avenue,Brooklyn,New York,"11226"
FMS-Queens Artifical Kidney Center,"-73.895958","40.751766",Diagnostic and Treatment Center Extension Clinic,34-35 70th Street,Jackson Heights,New York,"11372"
Joseph P. Addabbo Family Health Center,"-73.782394","40.683353",Diagnostic and Treatment Center Extension Clinic,118-11 Guy Brewer Boulevard,Jamaica,New York,"11434"
Mt Sinai Adolescent Health Center,"-73.947136","40.782509",Hospital Extension Clinic,320 East 94th St,New York,New York,"10128"
Walton High Campus,"-73.897911","40.870598",School Based Hospital Extension Clinic,2780 Reservoir Avenue,Bronx,New York,"10468"
PS 811 M,"-73.976669","40.739609",School Based Hospital Extension Clinic,461 1st Avenue,New York,New York,"10010"
All County LLC,"-73.807381","40.738861",Diagnostic and Treatment Center,161-05 Horace Harding Expressway,Flushing,New York,"11365"
NYU Langone Occupational and Industrial Orthopaedic Center (OIOC),"-74.004402","40.72916",Hospital Extension Clinic,63 Downing St,New York,New York,"10014"
Memorial Sloan Kettering Counseling Center,"-73.970268","40.759251",Hospital Extension Clinic,641 Lexington Avenue,New York,New York,"10022"
Elmhurst Hospital Center,"-73.885719","40.74432",Hospital,79-01 Broadway,Elmhurst,New York,"11373"
Reality House Clinic,"-73.931877","40.772705",Diagnostic and Treatment Center Extension Clinic,8-13 Astoria Boulevard,Astoria,New York,"11102"
Joseph P Addabbo-Family Health Center,"-73.790459","40.593563",Diagnostic and Treatment Center,6200 Beach Channel Drive,Arverne,New York,"11692"
Boston Post Road Dialysis Center,"-73.831571","40.884458",Diagnostic and Treatment Center Extension Clinic,4000-4026 Boston Road,Bronx,New York,"10475"
BronxCare Hospital Center,"-73.903656","40.831772",Hospital,1276 Fulton Avenue,Bronx,New York,"10456"
Brooklyn Surgery Center,"-73.978615","40.616638",Diagnostic and Treatment Center,6010 Bay Parkway,Brooklyn,New York,"11204"
Planned Parenthood Joan Malin Brooklyn Health Center,"-73.990997","40.692669",Diagnostic and Treatment Center Extension Clinic,44 Court Street,Brooklyn,New York,"11201"
John F. Kennedy Education Campus,"-73.912514","40.876953",School Based Hospital Extension Clinic,99 Terrace View Avenue,Bronx,New York,"10463"
PS 192/PS 325,"-73.951935","40.821228",School Based Diagnostic and Treatment Center Extension Clinic,500 West 138th Street,New York,New York,"10031"
Cadman Family Health Center,"-73.991256","40.695219",Diagnostic and Treatment Center Extension Clinic,300 Cadman Plaza West,Brooklyn,New York,"11201"
East Side Endoscopy and Pain Management Center,"-73.981209","40.737343",Diagnostic and Treatment Center,380 Second Avenue,New York,New York,"10010"
Jackson Avenue Family Residence,"-73.913879","40.805367",Diagnostic and Treatment Center Extension Clinic,691 East 138th Street,Bronx,New York,"10454"
Josie Robertson Surgery Center,"-73.958713","40.760189",Hospital Extension Clinic,1133 York Avenue,New York,New York,"10065"
Calvary Hospital Inc,"-73.844658","40.847294",Hospital,1740-70 Eastchester Road,Bronx,New York,"10461"
Starling Diagnostic & Imaging Center,"-73.860014","40.836864",Diagnostic and Treatment Center,1480 East Avenue,Bronx,New York,"10462"
Foot Clinics of NY,"-73.940964","40.805058",Diagnostic and Treatment Center,53 East 124 Street,New York,New York,"10035"
Samaritan Health Village 53rd St,"-73.968307","40.757301",Diagnostic and Treatment Center Extension Clinic,225 East 53rd Street,New York,New York,"10022"
PS 040 George W Carver,"-73.92196","40.68014",School Based Hospital Extension Clinic,265 Ralph Avenue,Brooklyn,New York,"11233"
LIJMC-Satellite Dialysis Facility,"-73.742638","40.730801",Hospital Extension Clinic,220-22 Hillside Ave,Queens Village,New York,"11427"
Far Rockaway Treatment Center,"-73.751953","40.605255",Hospital Extension Clinic,1600 Central Avenue,Far Rockaway,New York,"11691"
Mobile Van Dental Clinic,"-73.981972","40.639771",School Based Diagnostic and Treatment Center Extension Clinic,1450 37th Street,Brooklyn,New York,"11218"
BIMC Geriatrics Senior Health Center,"-73.998009","40.746037",Hospital Extension Clinic,275 Eighth Avenue,New York,New York,"10011"
Brooklyn Center for Renal Dialysis,"-73.926499","40.673482",Diagnostic and Treatment Center Extension Clinic,170 Buffalo Avenue,Brooklyn,New York,"10470"
Carol Molinaro DCI Dialysis Center,"-74.109016","40.634666",Diagnostic and Treatment Center Extension Clinic,800 Castleton Avenue,Staten Island,New York,"10310"
ODA Primary Health Care Network,"-73.955376","40.69698",Diagnostic and Treatment Center Extension Clinic,517 Park Avenue,Brooklyn,New York,"11205"
New York University Dental Center,"-73.978661","40.737877",Diagnostic and Treatment Center,345 East 24th Street,New York,New York,"10010"
"NY-Presbyterian Brooklyn Methodist Hospital, Rehab Center and Women & Children's Clinics","-73.981712","40.668816",Hospital Extension Clinic,"263 7th Avenue, 2nd & 3rd Floors",Brooklyn,New York,"11215"
START Treatment & Recovery Centers,"-73.938187","40.800331",Diagnostic and Treatment Center Extension Clinic,2195 Third Avenue,New York,New York,"10035"
"Comprehensive Health Care & Rehabilitation Services, LLC","-73.925308","40.70039",Diagnostic and Treatment Center,148 Wilson Avenue,Brooklyn,New York,"11237"
FMS-Nephro-Care,"-73.945732","40.678101",Diagnostic and Treatment Center Extension Clinic,1402 Atlantic Avenue,Brooklyn,New York,"11236"
Far Rockaway HS Clinic,"-73.762741","40.601585",School Based Hospital Extension Clinic,821 Bay 25th Street,Far Rockaway,New York,"11691"
"Healthcare Choices NY, Inc.","-73.949745","40.740353",Diagnostic and Treatment Center Extension Clinic,21-10 Borden Avenue,Long Island City,New York,"11101"
PS 194/Countee Cullen,"-73.941078","40.821541",School Based Diagnostic and Treatment Center Extension Clinic,244 West 144th Street,New York,New York,"10030"
Maimonides Rehabilitation Services,"-74.010689","40.631588",Hospital Extension Clinic,883 65th Street,Brooklyn,New York,"11219"
AIDS Healthcare Foundation,"-73.922155","40.819989",Diagnostic and Treatment Center,655 Morris Avenue,Bronx,New York,"10451"
Mid-Bronx Endoscopy Center,"-73.909496","40.854075",Diagnostic and Treatment Center,51 West Burnside Avenue,Bronx,New York,"10453"
Betances Health Center,"-73.983505","40.713905",Diagnostic and Treatment Center,280 Henry Street,New York,New York,"10002"
Rogosin Institute Brooklyn Home Dialysis,"-73.999349","40.674785",Diagnostic and Treatment Center Extension Clinic,527 Court Street,Brooklyn,New York,"11231"
Mount Sinai Comprehensive Health Program - Downtown,"-73.994385","40.745678",Hospital Extension Clinic,275 7th Avenue,New York,New York,10001-6708
Albert Tuitt Educational Academy,"-73.852516","40.887821",School Based Diagnostic and Treatment Center Extension Clinic,921 East 228th Street,Bronx,New York,"10466"
"Rose F. Kennedy Center, Children's Evaluation and Rehabilitation Center at Montefiore","-73.847719","40.851233",Hospital Extension Clinic,1225 Morris Park Ave,Bronx,New York,"10461"
Lexington Hearing & Speech Center Inc,"-73.893456","40.762276",Diagnostic and Treatment Center,74-20 25th Avenue,Jackson Heights,New York,"11370"
Premier Healthcare Remsen Street,"-73.991539","40.693329",Diagnostic and Treatment Center Extension Clinic,175 Remsen Street,Brooklyn,New York,"11201"
Staten Island University Hosp-North,"-74.086998","40.584141",Hospital,475 Seaview Avenue,Staten Island,New York,"10305"
Manhattan Surgery Center,"-73.994598","40.769203",Diagnostic and Treatment Center,619 West 54th Street,New York,New York,"10019"
Medalliance Medical Health Services,"-73.884094","40.858307",Diagnostic and Treatment Center,625 East Fordham Road,Bronx,New York,"10458"
"ODA Primary Health Care Network, Inc","-73.958878","40.699837",Diagnostic and Treatment Center,14-16 Heyward Street,Brooklyn,New York,"11211"
New York-Presbyterian David H. Koch Center,"-73.955346","40.764794",Hospital,1283 York Avenue,New York,New York,"10065"
Long Island Jewish Medical Center Primary Care Extension Clinic,"-73.714841","40.745637",Hospital Extension Clinic,256-11 Union Turnpike,Glen Oaks,New York,"11004"
Park Ridge Family Health Center,"-74.020172","40.638981",Hospital Extension Clinic,6317 4th Avenue,Brooklyn,New York,"11220"
Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,"-73.845055","40.849575",Hospital,1825 Eastchester Road,Bronx,New York,"10461"
The Children's Aid Society,"-73.947128","40.802593",Diagnostic and Treatment Center Extension Clinic,14-32 West 118th Street,New York,New York,"10026"
START Treatment & Recovery Centers,"-73.935173","40.697041",Diagnostic and Treatment Center Extension Clinic,1155 Myrtle Avenue,Brooklyn,New York,"11206"
Pelham Physical Medicine Inc,"-73.85553","40.855915",Diagnostic and Treatment Center,2118 Williamsbridge Road,Bronx,New York,"10461"
Center for Comprehensive Health Practice Inc,"-73.945763","40.785938",Diagnostic and Treatment Center,1900 Second Avenue,New York,New York,"10029"
Wyckoff Heights Medical Center Extension Clinic,"-73.919441","40.703995",Hospital Extension Clinic,1610 DeKalb Avenue,Brooklyn,New York,"11237"
Housing Works Services II,"-73.986526","40.692528",Diagnostic and Treatment Center Extension Clinic,"57 Willoughby Street, Lower Level",Brooklyn,New York,"11201"
Pediatric Dentistry Ext Clinic,"-73.94223","40.842072",Diagnostic and Treatment Center Extension Clinic,722 West 168th Street,New York,New York,"10032"
Boricua Community Health Center,"-73.909461","40.823338",Diagnostic and Treatment Center Extension Clinic,3209 Third Avenue,Bronx,New York,"10451"
St Barnabas Hospital-Hemodialysis,"-73.892677","40.85231",Hospital Extension Clinic,4441-4451 3rd Avenue,Bronx,New York,"10457"
Psych/Alcoholism Treatment Pgm,"-74.085442","40.583042",Hospital Extension Clinic,450 Seaview Avenue,Staten Island,New York,"10305"
Upper West Side Endoscopy,"-73.98238","40.77992",Diagnostic and Treatment Center,230 West 74th Street,New York,New York,"10023"
Avantus Upper East Side Dialysis Center,"-73.962227","40.762226",Diagnostic and Treatment Center Extension Clinic,315 East 62nd Street,New York,New York,"10128"
North Canarsie Dialysis,"-73.909099","40.665719",Diagnostic and Treatment Center Extension Clinic,276 Blake Avenue,Brooklyn,New York,"11212"
New Vanderbilt Dialysis (DCI),"-74.076439","40.621323",Diagnostic and Treatment Center Extension Clinic,135 Vanderbilt Avenue,Staten Island,New York,"10304"
"Perry Avenue Family Medical Center, Inc.","-73.879303","40.872791",Diagnostic and Treatment Center,3071 Perry Avenue,Bronx,New York,"10467"
Bella Vista Health Center,"-73.889374","40.81921",Diagnostic and Treatment Center Extension Clinic,890 Hunts Point Ave,Bronx,New York,"10474"
"All City Family Healthcare Center, Inc.","-73.940964","40.595226",Diagnostic and Treatment Center,3632 Nostrand Avenue,Brooklyn,New York,"11229"
PS 136 Charles O. Dewey/Sunset Park Prep MS 821,"-74.006959","40.652085",School Based Hospital Extension Clinic,4004 4th Avenue,Brooklyn,New York,"11232"
UCHC Mobile Dental Unit,"-73.89594","40.86074",Diagnostic and Treatment Center Extension Clinic,260 East 188th Street,Bronx,New York,"10458"
Callen-Lorde Community Health Center Mobile Unit ll,"-74.003123","40.74304",Mobile Diagnostic and Treatment Center Extension Clinic,356 West 18th Street,New York,New York,"10011"
Center for Community Health,"-73.978535","40.668218",Hospital Extension Clinic,515 6th Street,Brooklyn,New York,"11215"
Allhealth D&TC-Mobile Van,"-73.966454","40.630699",Diagnostic and Treatment Center Extension Clinic,1100 Coney Island,Brooklyn,New York,"11230"
Queens-Long Island Renal Institute,"-73.706223","40.753952",Diagnostic and Treatment Center,271-11 76th Avenue,New Hyde Park,New York,"11040"
Riverside Health Center,"-73.967621","40.796234",Diagnostic and Treatment Center Extension Clinic,160 West 100th Street,New York,New York,"10025"
Evander Childs Campus,"-73.862068","40.875938",School Based Hospital Extension Clinic,800 East Gun Hill Road,Bronx,New York,"10467"
Health Care for the Homeless Center,"-73.943913","40.813964",Diagnostic and Treatment Center Extension Clinic,169 West 133rd Street,New York,New York,"10030"
Samaritan Health Service University,"-73.926102","40.842339",Diagnostic and Treatment Center Extension Clinic,1381 University Ave,Bronx,New York,"10452"
LIJMC-Satellite Dialysis Facility,"-73.742638","40.730801",Hospital Extension Clinic,220-22 Hillside Ave,Queens Village,New York,"11427"
P.S. 5,"-73.922869","40.858968",School Based Diagnostic and Treatment Center Extension Clinic,3703 10th Ave at Dyckman Street,New York,New York,"10034"
Williamsbridge Family Practice Center,"-73.857381","40.869689",Hospital Extension Clinic,3011 Boston Road,Bronx,New York,"10469"
P.S. 124,"-73.995476","40.714252",School Based Hospital Extension Clinic,40 Division Street,New York,New York,"10002"
Northwell Ambulatory Care Center- a Program of Long Island Jewish Medical Center,"-73.863846","40.730934",Hospital Extension Clinic,95-25 Queens Boulevard,Rego Park,New York,"11374"
Charles B Wang Comm Health Care Center,"-74.001251","40.718872",Diagnostic and Treatment Center Extension Clinic,268 Canal St,New York,New York,"10013"
Theodore Roosevelt High School,"-73.88813","40.859848",School Based Hospital Extension Clinic,500 East Fordham Road,Bronx,New York,"10458"
Bailey House Inc Park Avenue Health Center,"-73.94034","40.80285",Diagnostic and Treatment Center Extension Clinic,1751 Park Avenue,New York,New York,"10035"
NYU Langone Rivergate Transplant Clinic,"-73.973213","40.743725",Hospital Extension Clinic,401 East 34th Street,New York,New York,"10016"
14 Penn Dental Center,"-73.991699","40.751511",Diagnostic and Treatment Center Extension Clinic,"225 West 34th Street, Suite 400",New York,New York,"10122"
Reg Imaging and Therapeutic Rad Services,"-74.10675","40.63546",Hospital Extension Clinic,360 Bard Avenue,Staten Island,New York,"10310"
Jamaica Health Center,"-73.800705","40.704361",Diagnostic and Treatment Center Extension Clinic,90-37 Parsons Blvd,Jamaica,New York,"11432"
Lenox Hill Hospital,"-73.960632","40.773907",Hospital,100 East 77th Street,New York,New York,"10021"
Thomas Jefferson High School,"-73.894821","40.667526",School Based Diagnostic and Treatment Center Extension Clinic,400 Pennsylvania Avenue,Brooklyn,New York,"11207"
Mount Sinai Hospital,"-73.953766","40.790482",Hospital,One Gustave L Levy Place,New York,New York,"10029"
Bella Vista Community Health Center,"-73.889282","40.819061",Diagnostic and Treatment Center Extension Clinic,882-886 Hunts Point Avenue,Bronx,New York,"10459"
Morris Heights Health Center Mobile Van,"-73.903733","40.856334",Mobile Diagnostic and Treatment Center Extension Clinic,2186 Walton Avenue,Bronx,New York,"10453"
Lower Manhattan Health District,"-73.999138","40.749596",Diagnostic and Treatment Center Extension Clinic,303 9th Avenue,New York,New York,"10001"
Triborough Ambulatory Surgery Center,"-73.893525","40.850361",Diagnostic and Treatment Center,550 East 180th Street,Bronx,New York,"10457"
"NYP/Queens Developmental Disability, Neuro Science Center and Pediatric Asthma Center","-73.796384","40.739842",Hospital Extension Clinic,"59-16 174th Street, Lower Level",Flushing,New York,"11365"
Urban Strategies/Brookdale Family Care Center,"-73.908203","40.676464",Diagnostic and Treatment Center,1873 Eastern Parkway,Brooklyn,New York,"11233"
Island Rehabilitative Services,"-74.087183","40.583725",Diagnostic and Treatment Center,470 Seaview Avenue,Staten Island,New York,"10305"
I S 166,"-73.885765","40.660538",School Based Diagnostic and Treatment Center Extension Clinic,800 Van Siclen Avenue,Brooklyn,New York,"11207"
Union Community Health Center Comprehensive Family Dentistry,"-73.891558","40.851963",Diagnostic and Treatment Center Extension Clinic,2101 Quarry Road,Bronx,New York,"10457"
Williamsburg Community Health Center,"-73.944328","40.712093",Diagnostic and Treatment Center Extension Clinic,279 Graham Avenue,Brooklyn,New York,"11206"
Maimonides Medical Center,"-73.99839","40.639423",Hospital,4802 Tenth Avenue,Brooklyn,New York,"11219"
Narco Freedom Inc,"-73.919029","40.814503",Diagnostic and Treatment Center,479 Willis Avenue,Bronx,New York,"10455"
The Children's Aid Society,"-73.889938","40.834072",Diagnostic and Treatment Center,910 East 172nd Street,Bronx,New York,"10460"
CS 30&31/R Hernandez & L Hughes,"-73.935555","40.806042",School Based Diagnostic and Treatment Center Extension Clinic,144 E 128th Street,New York,New York,"10035"
Greenwich House Counseling Center,"-73.991859","40.745731",Diagnostic and Treatment Center Extension Clinic,122 West 27th Street,New York,New York,"10001"
Palm Gardens Dialysis Center LLC,"-73.972849","40.641071",Diagnostic and Treatment Center,615 Avenue C,Brooklyn,New York,"11218"
NYU Langone Brooklyn Ambulatory Surgery and Endoscopy Center,"-73.959465","40.609608",Hospital Extension Clinic,1630 East 14th Street,Brooklyn,New York,"11229"
Fordham-Tremont Comm Mental Health Center,"-73.893288","40.845509",Hospital Extension Clinic,1910 Arthur Avenue,Bronx,New York,"10458"
Benjamin Banneker Academy,"-73.969177","40.695328",School Based Diagnostic and Treatment Center Extension Clinic,77 Clinton Avenue,Brooklyn,New York,"11205"
Philip Randolph Campus HS,"-73.950867","40.818394",School Based Hospital Extension Clinic,135th St at Convent Ave,New York,New York,"10031"
NYU Langone Levit Medical Arts Pavilion,"-73.960342","40.610157",Hospital Extension Clinic,1300 Avenue P,Brooklyn,New York,"11229"
NYU Langone Harkness Center for Dance Injuries,"-73.975945","40.744606",Hospital Extension Clinic,614 Second Avenue,New York,New York,"10016"
APICHA Community Health Center,"-74.002434","40.718651",Diagnostic and Treatment Center,400 Broadway - 4th Floor,New York,New York,"10013"
Ryan Mobile Medical Van,"-73.88446","40.829708",Mobile Diagnostic and Treatment Center Extension Clinic,1480 Sheridan Expressway,Bronx,New York,"10459"
Quality First Medical Center,"-73.979043","40.616574",Diagnostic and Treatment Center Extension Clinic,6010 Bay Parkway,Brooklyn,New York,"11204"
Downtown Brooklyn Dialysis,"-74.001426","40.675124",Diagnostic and Treatment Center Extension Clinic,133 Mill Street,Brooklyn,New York,"11231"
PS 112,"-73.930206","40.796406",School Based Diagnostic and Treatment Center Extension Clinic,535 East 119th Street,New York,New York,"10035"
Beth Israel Med Center Cooper Square,"-73.985603","40.723099",Hospital Extension Clinic,26 Avenue A,New York,New York,"10003"
Gramercy Park DDC - Bennett Avenue,"-73.936848","40.850783",Diagnostic and Treatment Center Extension Clinic,2 Bennett Avenue,New York,New York,"10033"
Community Healthcare Network,"-73.895172","40.823055",Diagnostic and Treatment Center,975 Westchester Ave,Bronx,New York,"10459"
Urban Health Plan,"-73.856705","40.817799",Diagnostic and Treatment Center Extension Clinic,1930 Randall Avenue,Bronx,New York,"10473"
Sillerman Center for Rehabilitation,"-73.97403","40.759846",Hospital Extension Clinic,515 Madison Avenue,New York,New York,"10022"
P.S. 179,"-73.919868","40.809471",School Based Hospital Extension Clinic,468 East 140th Street,Bronx,New York,"10454"
Damian Family Care Center,"-73.815186","40.702442",Diagnostic and Treatment Center,137-50 Jamaica Avenue,Jamaica,New York,"11435"
August Martin High School,"-73.782733","40.674071",School Based Hospital Extension Clinic,156-10 Baisley Blvd.,Jamaica,New York,"11434"
Bronx River Dialysis,"-73.857681","40.844166",Diagnostic and Treatment Center Extension Clinic,1616 Bronxdale Avenue,Bronx,New York,"10462"
James M. Kieran Campus,"-73.873767","40.825007",School Based Diagnostic and Treatment Center Extension Clinic,"1025 Morrison Avenue, Room 142",Bronx,New York,"10472"
South Shore Educational Complex,"-73.917858","40.632708",School Based Hospital Extension Clinic,6565 Flatlands Ave,Brooklyn,New York,"11236"
Rogosin Institute - Nephrology Foundation of Brooklyn East,"-73.875386","40.664629",Diagnostic and Treatment Center Extension Clinic,2372 Linden Boulevard,Brooklyn,New York,"11208"
"Gastroenterology Care, Inc","-73.993904","40.60194",Diagnostic and Treatment Center,8622 Bay Parkway,Brooklyn,New York,"11214"
"William F. Ryan Community Health Center, Inc.","-73.939123","40.819716",Diagnostic and Treatment Center Extension Clinic,138 West 143rd Street,New York,New York,"10030"
NYU Langone Inflammatory Bowel Disease Center,"-73.97567","40.744038",Hospital Extension Clinic,305 East 33rd Street,New York,New York,"10016"
Metro Community Health Centers Downtown Brooklyn,"-73.986752","40.690182",Diagnostic and Treatment Center Extension Clinic,177 Livingston Street-Lower Lev,Brooklyn,New York,"11201"
NYU Mobile Dental Van,"-73.978661","40.737877",Diagnostic and Treatment Center Extension Clinic,345 East 24th Street,New York,New York,"10010"
PS 55 & Mott Hall III,"-73.904633","40.836246",School Based Hospital Extension Clinic,450 St Paul's Place,Bronx,New York,"10456"
Long Island City Dialysis,"-73.934355","40.751163",Diagnostic and Treatment Center Extension Clinic,30-46 Northern Boulevard,Long Island City,New York,"11101"
Intermediate School 52 Inwood,"-73.924896","40.866032",School Based Hospital Extension Clinic,650 Academy Street,New York,New York,"10034"
NYP/Queens Primary Care Center,"-73.791946","40.739769",Hospital Extension Clinic,182-19 Horace Harding Expressway,Fresh Meadows,New York,"11365"
2021 Grand Concourse,"-73.904449","40.851776",Diagnostic and Treatment Center Extension Clinic,2021 Grand Conourse,Bronx,New York,"10453"
